"","beta1","beta2","beta3","ratio","preda","k","method"
"1",4218.93153079606,23.728535287649,11.1392584290475,7.44626192133397e-06,628.482018957022,"50","MED1"
"2",5644.38177663472,28.4595983200523,-8.91057163401873,6.04266077839166e-06,606.13601167019,"50","MED1"
"3",4176.38962703985,22.0192021719052,6.61100846870473,7.06082610662074e-06,557.770706959513,"50","MED1"
"4",6631.1941338895,32.3082959285026,-21.9941410675486,6.05692981268228e-06,601.56607550095,"50","MED1"
"5",5222.57536221433,29.3413610235424,-1.68424660676071,4.17929652226007e-06,580.582111659332,"50","MED1"
"6",6965.98228281498,40.8036482444641,-14.3649318360481,4.422936498291e-06,575.185807914827,"50","MED1"
"7",5668.94504559526,28.858549880426,-12.7305979503062,5.42376889319855e-06,606.662326302441,"50","MED1"
"8",6337.24902055003,29.6693743219212,-24.468258674872,4.75220357628146e-06,573.671066441479,"50","MED1"
"9",5971.41960187841,30.1053336251391,-14.6297074858447,4.47048991034411e-06,608.361199037066,"50","MED1"
"10",6133.9976705409,33.8302623443466,-10.8300301499291,2.51880921866124e-06,631.687527676994,"50","MED1"
"11",5306.81141426768,27.6848830307466,-5.00587880678357,5.518215851016e-06,591.24382639457,"50","MED1"
"12",5651.60544676767,31.8927337145785,-1.31745227470115,5.37894691182602e-06,635.637637370761,"50","MED1"
"13",5826.30708737278,29.6264616841752,-11.7774874029691,4.20714464405713e-06,639.119252608489,"50","MED1"
"14",5466.30976978424,25.2214726651394,-14.2768066364767,4.94336433182813e-06,533.76779766574,"50","MED1"
"15",4927.40640645684,28.8319168403405,6.54240419354296,7.69980118967802e-06,586.675354111417,"50","MED1"
"16",5289.53289890122,25.2136291378403,-7.87931511311305,6.63482580389716e-06,493.155655050474,"50","MED1"
"17",5086.19956173749,25.9380430413453,-4.37169238555018,7.03915900458955e-06,561.811587309294,"50","MED1"
"18",5596.69315061598,30.1398378842025,-2.55486302142188,4.84522406040904e-06,615.06324070367,"50","MED1"
"19",5560.0680409911,28.8457704798409,-8.20666968848571,5.27792723863247e-06,567.989539065062,"50","MED1"
"20",6598.61245911056,35.3874725534864,-18.0451940367742,6.4833193208799e-06,579.074138071311,"50","MED1"
"21",5239.94760770494,26.8821372596239,-3.6298761658267,5.98830606908883e-06,581.16552817312,"50","MED1"
"22",5403.86362231821,27.6939491745762,-8.63041788573248,4.61461638160808e-06,555.00074037687,"50","MED1"
"23",6934.52795040524,36.3173573238861,-23.4680998430465,6.67553148217665e-06,608.372420650894,"50","MED1"
"24",5838.44895251381,25.3450737505877,-21.0602245208534,4.89981617430545e-06,641.001646253975,"50","MED1"
"25",4468.30175318235,21.2514088145767,1.40709299913217,4.79454222445033e-06,608.144895993601,"50","MED1"
"26",4395.43597039159,18.3462461636323,-4.3771140563218,8.8771715547163e-06,611.652472716098,"50","MED1"
"27",4839.46861175561,24.3468687140666,-1.94195533063413,7.80609878439534e-06,587.276140192802,"50","MED1"
"28",5243.59467910612,27.1248520046229,-5.94578738440858,6.02397700896599e-06,668.191444155378,"50","MED1"
"29",5319.22461329797,28.2958373074264,-2.10257991146981,6.1733050336405e-06,584.884509650728,"50","MED1"
"30",5110.89312389902,23.3600709910282,-11.1805443928974,4.82811166728024e-06,603.05549910176,"50","MED1"
"31",6330.3658805388,32.8513430964792,-12.669191174882,6.97471001412039e-06,605.959909218222,"50","MED1"
"32",6250.82046816356,26.3849742250482,-28.7661112969193,6.56496033971855e-06,610.773408915641,"50","MED1"
"33",5984.00642837396,23.0858345874063,-25.9526623007905,6.20214101258842e-06,532.765050158716,"50","MED1"
"34",4730.14529239779,22.2546065498722,-3.19601111329529,7.2221041576762e-06,630.333691374808,"50","MED1"
"35",5357.61406764439,24.4875464375656,-14.1685695729182,9.05555732660784e-06,669.44981384997,"50","MED1"
"36",5489.29162007225,26.8946961647214,-9.80182624142394,6.09859843923251e-06,557.341325291253,"50","MED1"
"37",5675.36845756312,28.1532073886258,-10.7263901852215,6.89571187322963e-06,536.771809075314,"50","MED1"
"38",5244.11848522038,24.6228690205858,-8.93970620260338,6.20433663159182e-06,649.056590915147,"50","MED1"
"39",6595.47898874358,31.6253138408887,-21.9764316791431,5.29037692662297e-06,652.23725691762,"50","MED1"
"40",5564.09905953633,27.3068829990944,-11.5014949707263,8.28887130276419e-06,624.367022355768,"50","MED1"
"41",6407.50733740956,35.0431416815191,-15.7097767504658,5.39807169496794e-06,607.464049104498,"50","MED1"
"42",6347.43089020182,30.2885249487905,-22.7903074398889,4.00958134125389e-06,603.141363772793,"50","MED1"
"43",6392.23773803958,33.7148197005621,-17.6816333774746,6.14883524944272e-06,512.491158065259,"50","MED1"
"44",4537.94886428913,22.5050339905598,-2.36917146731299,6.91651695049054e-06,589.090714255876,"50","MED1"
"45",4797.58557123586,24.4393381134526,-1.54364808378581,6.59568634824566e-06,592.107271913593,"50","MED1"
"46",6064.60842243383,36.3733654124051,-3.78205021381308,5.28575993255715e-06,598.002852041405,"50","MED1"
"47",6405.1838658592,32.0640394454043,-18.937651876764,3.40565495984491e-06,646.944228809007,"50","MED1"
"48",5777.38804964106,26.1198669047912,-20.443629252961,6.39590504314916e-06,596.739068148213,"50","MED1"
"49",5687.01743287603,28.2237650946302,-13.7516917424481,7.65243177247374e-06,598.210244025333,"50","MED1"
"50",5418.4802575922,25.0958594821054,-12.7064037911486,7.53998627732501e-06,613.61922979559,"50","MED1"
"51",6374.23599917279,32.4193807925313,-22.292535445962,4.10341165911887e-06,562.016718631592,"50","MED1"
"52",5389.89292436434,31.8412636811136,0.122223803975338,6.14631499776044e-06,564.261301336876,"50","MED1"
"53",5337.86308236895,31.0576334817043,0.295993238895929,6.05590326555155e-06,528.409865158143,"50","MED1"
"54",5840.5433512688,31.8419603545341,-7.71337700404944,4.59653984257496e-06,541.055273440154,"50","MED1"
"55",6468.45180752135,33.0959851762984,-18.3594870998516,5.89367855388463e-06,519.912607542516,"50","MED1"
"56",5822.20588252333,26.480500995779,-17.6018030349171,7.19256716041929e-06,546.731672693519,"50","MED1"
"57",5170.55902634301,29.9446095934643,2.88503389920786,5.27066946298451e-06,531.190930762756,"50","MED1"
"58",5606.12690815291,27.2925263103375,-10.7359684278336,6.2721024763975e-06,568.197655408193,"50","MED1"
"59",5294.08061694835,25.5468202649456,-10.0908238262823,4.2318010326242e-06,564.591814174503,"50","MED1"
"60",5267.80820139631,26.8970244134816,-6.85753840815985,4.46046072007623e-06,537.335983905817,"50","MED1"
"61",5990.62953550035,33.2764458450498,-10.2319077961757,3.63663581570888e-06,617.470903437997,"50","MED1"
"62",5962.08106642073,27.2943495143142,-18.804364436426,5.00961919352748e-06,575.00991857198,"50","MED1"
"63",5584.27088440808,30.5865437404176,-5.75489781419156,6.24673755644343e-06,628.879451203386,"50","MED1"
"64",5279.56475850499,22.5607976074515,-15.6948085262513,4.83208213446485e-06,658.051120756461,"50","MED1"
"65",5737.65158286837,30.9287333286199,-9.24661985552498,6.28793740518379e-06,528.310237774764,"50","MED1"
"66",6145.40206330378,27.4515783645082,-22.058831544147,5.00144909931499e-06,556.984600585141,"50","MED1"
"67",5548.77966646965,25.2701464731654,-13.8226124958429,5.33536181648798e-06,612.291247147724,"50","MED1"
"68",5578.68405515132,29.3236951471755,-6.70477083878649,5.04292629014699e-06,631.638910435802,"50","MED1"
"69",5278.52608834858,26.1614572212013,-10.7539012655492,7.90317708800446e-06,578.311044596781,"50","MED1"
"70",5835.6956071896,26.4096145649943,-18.4528311051682,4.62540376117932e-06,671.454649788105,"50","MED1"
"71",6111.45903483011,30.5834520915817,-18.4633615944499,5.26834288674006e-06,657.241501093571,"50","MED1"
"72",5085.22075859406,22.8496756839655,-9.08269505645807,1.02346544970196e-05,555.260900590811,"50","MED1"
"73",6447.49821203556,28.5976097521783,-29.7554212219235,4.39808549724454e-06,623.557504161695,"50","MED1"
"74",6464.23670888826,30.9404626270149,-24.7333226822169,7.41191805791852e-06,577.027187778541,"50","MED1"
"75",4897.66215030073,27.7034628192138,2.82371485409729,7.61832362238619e-06,603.873086126154,"50","MED1"
"76",6322.08628801429,33.1745402516337,-15.2470427618595,2.39532047026191e-06,636.88499090768,"50","MED1"
"77",5673.29961116405,29.5424376122344,-6.69651683623762,5.51464106702063e-06,556.813767600288,"50","MED1"
"78",5106.05657614061,24.8253391043934,-7.77831558502386,4.37137837842363e-06,638.111386140303,"50","MED1"
"79",5316.61788876129,23.4684892413692,-14.1857806816328,4.52037717804278e-06,557.699687930233,"50","MED1"
"80",4790.63019656371,27.6527595176288,4.97304540580939,6.92718284612992e-06,572.077394120749,"50","MED1"
"81",5048.72858731378,26.7667327064335,-2.11590253097213,4.82125139394341e-06,518.607182728008,"50","MED1"
"82",5992.69834322779,29.9196242074968,-17.139578642579,6.29760889204097e-06,589.980074796477,"50","MED1"
"83",5330.21066859244,28.0212833497247,-7.44997143976242,6.04363996808145e-06,574.883374425834,"50","MED1"
"84",4625.43595685421,24.0731673167462,2.21043093656533,7.87095396588736e-06,613.679724259849,"50","MED1"
"85",5248.87432298023,27.9166975885423,-3.09290708655649,4.99785022689311e-06,600.180653641568,"50","MED1"
"86",5414.3306824778,28.8629214474955,-5.85479476855784,4.07174346101985e-06,575.426781346185,"50","MED1"
"87",5802.25200441624,26.2153354822982,-16.3923108755385,6.55660445975107e-06,539.786421142421,"50","MED1"
"88",6182.39300072907,27.9332322622493,-21.0325260998689,5.72614064484507e-06,583.081399029182,"50","MED1"
"89",6614.14260994045,32.7346335085801,-23.1338716626388,9.73174192139882e-06,601.240629910118,"50","MED1"
"90",5111.86046703979,26.0520847968339,-4.18477979486371,5.63872780427079e-06,612.860996295978,"50","MED1"
"91",6184.9646134384,28.283586491217,-22.6075470071306,2.24563801590971e-06,670.780524114718,"50","MED1"
"92",5430.81951112214,30.1391296821819,-2.60500942065928,5.76475225188383e-06,625.032522220534,"50","MED1"
"93",4497.38411977098,24.3313716531543,5.34774317802701,7.31338664759921e-06,550.742934304374,"50","MED1"
"94",5569.1012908193,22.8345199024147,-20.1443610748798,7.2509950928804e-06,536.882738746971,"50","MED1"
"95",5757.84798655921,25.0915936112343,-19.5951187227763,5.29158808239248e-06,572.451301024865,"50","MED1"
"96",5720.86185039987,29.4912812191575,-12.2433022770614,6.98828142440028e-06,569.178952877387,"50","MED1"
"97",4244.53081252341,21.5073605650553,5.66389371463345,7.51562334314664e-06,576.435660737833,"50","MED1"
"98",6053.61909616509,32.8832850748998,-14.8121378046656,6.60988118680313e-06,568.280942377443,"50","MED1"
"99",6201.85896906996,30.0941401159583,-18.5989467488912,6.59198377520699e-06,553.565188318636,"50","MED1"
"100",5038.35403010617,27.5644047408395,0.926075139267007,6.44471810628022e-06,624.039471897374,"50","MED1"
"101",5598.43490982841,22.4137562006032,-19.3465891014591,1.09482076963285e-05,597.289695059187,"50","MED1"
"102",5567.09402494375,27.5629615829621,-11.9877102301863,5.02870919393405e-06,587.859738645656,"50","MED1"
"103",4876.51706029993,24.3877557348443,-2.74749930487022,6.7353928768475e-06,578.350391410586,"50","MED1"
"104",5387.06574731249,30.6345941051224,-1.27836029155217,9.45653671642065e-06,628.457326626088,"50","MED1"
"105",5388.56289512801,31.3615227862201,1.00787692323735,8.18860391112859e-06,702.045304943071,"50","MED1"
"106",5267.05997977137,27.2357983634701,-6.99414911670119,6.38147457939362e-06,546.362556636314,"50","MED1"
"107",5806.79993860005,23.9992659133108,-23.1371457482678,5.22965232354838e-06,603.72951974946,"50","MED1"
"108",5319.88174200412,27.1065566866508,-8.16584276459051,4.96879118949114e-06,589.322846160252,"50","MED1"
"109",5769.84024062552,30.2890672336641,-12.0889100144735,6.02531064225135e-06,636.008656475658,"50","MED1"
"110",5775.77605376658,30.0674323063258,-10.7986455338655,5.38150947781959e-06,532.525441881757,"50","MED1"
"111",5499.47291395193,22.0818719551731,-21.1354876073943,6.83041246229564e-06,641.827344384378,"50","MED1"
"112",5007.96172290412,26.5509333507751,-3.01987397052331,6.41344238385325e-06,636.274327518496,"50","MED1"
"113",4145.13362802409,20.5548045376932,3.24407402755036,7.7469822173307e-06,626.231707351109,"50","MED1"
"114",5419.7388283217,24.9065250089811,-10.547009254385,9.7855569553609e-06,543.0962687614,"50","MED1"
"115",5272.34336998026,23.5331976714433,-12.6801766523085,5.08465814823355e-06,632.201940235721,"50","MED1"
"116",5951.27788419557,27.4509375707837,-20.109783898831,5.19339419477992e-06,615.427819106071,"50","MED1"
"117",5271.89712740902,26.6589905427213,-7.33620703970293,6.40074044251194e-06,592.001064753245,"50","MED1"
"118",5567.86836605772,26.5545637962118,-11.8175158032678,7.98529383351087e-06,593.749555109013,"50","MED1"
"119",6163.35397578001,33.7420223233032,-11.8314197322919,7.20556528568845e-06,597.411667853781,"50","MED1"
"120",5414.91818216175,26.3326271421855,-5.64383602763518,7.11675768910676e-06,544.971370892991,"50","MED1"
"121",5775.58189863395,29.8941904995919,-12.2950171927861,3.6379050017616e-06,592.923954125067,"50","MED1"
"122",6750.03250491154,33.4946568969595,-24.6455639224931,6.73387092563589e-06,580.432481797795,"50","MED1"
"123",5954.06315151269,27.9952056643821,-20.3777987745267,7.22884190836046e-06,592.593537437212,"50","MED1"
"124",5262.19848054139,23.9257494478968,-11.0530976358519,6.4063466898457e-06,601.074273031639,"50","MED1"
"125",5802.09410336625,30.5214053393908,-11.2542690559646,5.33485225097802e-06,604.245618982363,"50","MED1"
